"DriversKilled","drivers","front","rear","kms","PetrolPrice","VanKilled","law","date","year","month","day","week","wday"
107,1687,867,269,9059,0.102971811805368,12,0,"1969-01-01",1969,1,1,1,"Wed"
97,1508,825,265,7685,0.102362995884646,6,0,"1969-01-31",1969,1,31,5,"Fri"
102,1507,806,319,9963,0.102062490635914,12,0,"1969-03-02",1969,3,2,9,"Sun"
87,1385,814,407,10955,0.100873300511862,8,0,"1969-04-02",1969,4,2,14,"Wed"
119,1632,991,454,11823,0.101019672891934,10,0,"1969-05-02",1969,5,2,18,"Fri"
106,1511,945,427,12391,0.10058119170287,13,0,"1969-06-02",1969,6,2,22,"Mon"
110,1559,1004,522,13460,0.103773981457839,11,0,"1969-07-02",1969,7,2,27,"Wed"
106,1630,1091,536,14055,0.104076403554621,6,0,"1969-08-01",1969,8,1,31,"Fri"
107,1579,958,405,12106,0.103773981457839,10,0,"1969-09-01",1969,9,1,35,"Mon"
134,1653,850,437,11372,0.103026401330572,16,0,"1969-10-01",1969,10,1,40,"Wed"
147,2152,1109,434,9834,0.102730112155946,13,0,"1969-11-01",1969,11,1,44,"Sat"
180,2148,1113,437,9267,0.101997191539847,14,0,"1969-12-01",1969,12,1,48,"Mon"
